RegionName,StateName,2015_avg_sale,2015_avg_rent,2016_avg_sale,2016_avg_rent,2017_avg_sale,2017_avg_rent,2018_avg_sale,2018_avg_rent,2019_avg_sale,2019_avg_rent,2020_avg_sale,2020_avg_rent
"Chicago, IL",IL,190233.00868000003,1518.2766204000002,200474.13609166665,1551.105514,211743.99610000002,1588.319957,222450.06401666664,1623.3819889166668,228772.00170000002,1665.6693219999997,236891.85410833335,1670.090757166666
"Dallas, TX",TX,191501.30812999996,1188.1494902000002,212103.9224,1238.7053719166668,233181.27760000003,1293.9018704166667,251642.75839166666,1339.6134301666666,260920.6137,1389.2333305833333,273230.64352499996,1412.636604333333
"Houston, TX",TX,181484.93613,1306.2479528000001,192021.28937500002,1312.8262373333334,199631.96738333334,1326.1355932499998,208310.7008916667,1373.0913147499998,217128.087775,1394.818986,226271.78629999995,1401.7579667499997
"Washington, DC",VA,373645.24840000004,1809.4341754000002,382341.9484666667,1833.7764564166664,395482.030275,1867.344202,410559.3300416667,1904.6225501666665,424768.8347416667,1961.2088495833332,448221.413,1955.3666371666666
"Philadelphia, PA",PA,201216.76429,1365.44119,208939.85196666667,1393.8789334166665,218699.5855583333,1431.4795970833331,229128.343675,1473.0306175000003,238851.3568166667,1525.5868504166665,255240.85647499995,1561.744931
"Miami, FL",FL,213336.16028,1633.9409218,232587.201875,1690.1111729166666,252362.68941666666,1728.7705457500003,275901.4772583334,1779.5497824166666,289406.01646666665,1832.339297583333,304829.19295,1874.076186333333
"Atlanta, GA",GA,172492.51267,1130.0372905000002,185717.00115833335,1188.9842072499998,200944.55749166667,1260.3321446666666,219990.58652500002,1338.5839625833335,235827.17225833342,1420.786753,252243.88933333335,1479.7113491666669
"Phoenix, AZ",AZ,216435.84532,1030.9930364000002,235001.51127499997,1082.2320508333335,250725.40959999998,1143.9531176666665,270873.77057500003,1221.9324784166665,288783.94317499996,1321.4392815833335,317874.43682500004,1414.9943183333332
"Riverside, CA",CA,294014.6708099999,1470.7840023,310553.8374416667,1536.05581775,334687.4422666667,1625.507552,369576.25885833334,1718.7968515833334,383352.37332500005,1802.1504013333333,404950.16369166673,1896.5160921666668
"Detroit, MI",MI,126155.6229,941.0959014799998,136578.233575,967.88904595,149407.86728333335,1008.9250176749998,163164.43848333333,1051.57310425,174822.70595833333,1093.7513210000002,184599.83506666668,1136.8543460833334
"Seattle, WA",WA,356758.80192,1499.8448644,398147.47095,1601.3292264166666,446411.5156916667,1710.3776541666673,498628.6157916667,1774.4228451666668,508819.6258166667,1849.2795924166667,542213.6935999999,1874.2989985833335
"Minneapolis, MN",MN,224948.68859,1231.5371996000001,239231.5681583333,1273.4179540833334,256952.6299333333,1331.6283850000002,274015.218425,1391.2768554166666,287095.0439916667,1451.7075368333335,303487.0336833333,1482.7587731666665
"San Diego, CA",CA,476220.5656,1822.8772609,513329.8994583334,1914.2483362499997,553751.4908500001,2020.9614885,589820.8351,2125.6953779166665,602273.760425,2206.525557333333,637801.021975,2257.9339915
